epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,719.284,1.214,5.01956,0.40232,1.36677,1.54125,0.51672,0.92322,0.70075,0.4355,0.33181,0.58486,0.35412,0.09325,1.28161,3.91472,0.21725,1.14372,1.96222,0.007327,0.007327,0.007327
29,753.41,1.26781,4.85793,0.39459,1.38863,1.57238,0.57113,0.86897,0.76132,0.47794,0.36893,0.58852,0.33141,0.0924,1.29022,4.00095,0.21129,1.1504,1.94098,0.007228,0.007228,0.007228
30,783.467,1.20064,4.76238,0.39087,1.37291,1.53264,0.52852,0.91611,0.75289,0.46018,0.38816,0.65776,0.43586,0.10825,1.34662,3.75316,0.14977,1.11515,1.93358,0.007129,0.007129,0.007129
31,813.918,1.22136,4.60668,0.38452,1.31544,1.53725,0.53011,0.88272,0.76248,0.45775,0.42343,0.70947,0.47811,0.11336,1.33122,3.65344,0.22183,1.09384,1.95903,0.00703,0.00703,0.00703
32,846.358,1.20264,4.57655,0.38444,1.27807,1.51965,0.44723,0.86101,0.71727,0.41613,0.32679,0.63261,0.42013,0.1094,1.48307,3.74877,0.17542,1.24847,2.21406,0.006931,0.006931,0.006931
33,877.54,1.19292,4.72087,0.39348,1.28989,1.53731,0.6221,0.89608,0.8002,0.47177,0.36526,0.61491,0.41145,0.10353,1.36848,3.69648,0.13529,1.0593,2.04705,0.006832,0.006832,0.006832
34,908.822,1.22435,4.46909,0.38661,1.2988,1.54843,0.63031,0.84418,0.78958,0.50582,0.4496,0.73242,0.52981,0.14159,1.2332,3.35186,0.17687,1.06696,1.87355,0.006733,0.006733,0.006733
35,939.913,1.19844,4.41998,0.36932,1.28395,1.52557,0.65867,0.83212,0.80393,0.52304,0.52661,0.67704,0.57788,0.15905,1.23225,3.47156,0.13994,1.01264,1.91313,0.006634,0.006634,0.006634
36,966.886,1.18802,4.36015,0.38802,1.28957,1.535,0.54301,0.8472,0.78883,0.51485,0.43784,0.69626,0.55841,0.15191,1.25213,3.72519,0.15006,1.12275,1.90147,0.006535,0.006535,0.006535
37,997.69,1.16118,4.28553,0.36439,1.24232,1.4874,0.48921,0.87602,0.7623,0.48114,0.37604,0.5832,0.42216,0.10421,1.24964,3.67579,0.09458,1.17345,1.90908,0.006436,0.006436,0.006436
38,1028.32,1.1302,4.32165,0.38564,1.20367,1.47225,0.60377,0.81856,0.79607,0.49124,0.47383,0.63199,0.57056,0.18816,1.30035,3.38561,0.17489,1.08857,1.95495,0.006337,0.006337,0.006337
39,1057.31,1.17222,4.14614,0.36971,1.19845,1.5174,0.71567,0.89306,0.85656,0.54953,0.61997,0.75607,0.67198,0.23904,1.19948,2.80306,0.14316,1.02333,1.85522,0.006238,0.006238,0.006238
