epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,13049.2,1.297,2.95639,0.35657,1.7325,1.7496,0.63944,0.80786,0.72249,0.42031,0.36185,0.49283,0.31866,0.0955,1.5221,2.71463,0.0612,1.13735,2.05021,0.000710878,0.000710878,0.000710878
28,13572,1.32172,2.89752,0.34698,1.72625,1.75604,0.56235,0.93884,0.76317,0.43549,0.41072,0.65722,0.45037,0.14045,1.54209,2.50439,0.08862,1.12732,2.05262,0.00066444,0.00066444,0.00066444
29,14023,1.28943,2.76475,0.33394,1.65869,1.72995,0.52391,0.90578,0.72091,0.40385,0.37687,0.66675,0.45764,0.13338,1.52215,2.47793,0.05206,1.08274,1.99813,0.000618369,0.000618369,0.000618369
30,14451.6,1.28279,2.89828,0.33905,1.65138,1.72329,0.62793,0.8699,0.79163,0.47535,0.45467,0.57424,0.46319,0.12746,1.39771,2.68612,0.04295,1.07101,1.92414,0.000572848,0.000572848,0.000572848
31,14845.9,1.25218,2.78361,0.33317,1.61249,1.68488,0.61765,0.92157,0.84346,0.46767,0.50056,0.72277,0.61539,0.19254,1.54237,2.28684,0.05916,1.07167,2.00351,0.000528055,0.000528055,0.000528055
32,15208.3,1.26342,2.71223,0.33403,1.59765,1.69763,0.66059,0.92089,0.85387,0.51587,0.49784,0.70573,0.56057,0.19038,1.37065,2.33094,0.07578,0.97329,1.87471,0.000484168,0.000484168,0.000484168
33,15874,1.23497,2.71016,0.33264,1.56002,1.66577,0.6659,0.88682,0.83269,0.53744,0.56828,0.73783,0.62731,0.20658,1.23657,2.25765,0.06801,0.95849,1.73892,0.000441359,0.000441359,0.000441359
34,16437.3,1.2419,2.6878,0.32704,1.5632,1.69123,0.64552,0.91387,0.8452,0.54749,0.5438,0.7213,0.60387,0.20234,1.18571,2.21507,0.06772,1.02031,1.72581,0.000399798,0.000399798,0.000399798
35,16760.8,1.24336,2.65448,0.33071,1.53441,1.67964,0.70678,0.92977,0.84435,0.52917,0.63691,0.80925,0.69003,0.23431,1.29056,2.06375,0.05088,0.92527,1.77378,0.000359649,0.000359649,0.000359649
36,17311.9,1.22343,2.64753,0.32729,1.54123,1.69372,0.66558,0.94389,0.85792,0.58438,0.58974,0.80462,0.69511,0.26071,1.15577,2.10445,0.08087,0.9059,1.69925,0.000321069,0.000321069,0.000321069
37,17604.5,1.23309,2.57273,0.32172,1.48751,1.67619,0.71167,0.89939,0.86285,0.5924,0.63972,0.74062,0.68693,0.26211,1.11146,2.05094,0.07588,0.89233,1.65079,0.000284213,0.000284213,0.000284213
38,18005.7,1.2148,2.58294,0.31899,1.47735,1.66375,0.66259,0.91613,0.86089,0.58968,0.57168,0.77315,0.68289,0.24943,1.10604,2.00273,0.07819,0.88188,1.62542,0.000249224,0.000249224,0.000249224
39,18400.1,1.18831,2.44206,0.30593,1.46422,1.65311,0.73146,0.93806,0.84909,0.5577,0.67302,0.80176,0.71302,0.30605,1.24185,1.88041,0.06572,0.88699,1.72234,0.000216241,0.000216241,0.000216241
40,18979.8,1.20276,2.51626,0.31848,1.4812,1.65714,0.76008,0.93525,0.87573,0.59222,0.68078,0.83059,0.72264,0.29661,1.1643,1.87468,0.06679,0.83991,1.65147,0.000185394,0.000185394,0.000185394
