epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,753.996,1.77364,7.64991,0.63902,2.65634,2.15834,0.0005,0.24306,0.00033,9e-05,0,0,0,0,2.96744,10.5396,0.96999,955.524,4.84133,0.000660969,0.000660969,0.0676125
2,1533.81,1.79828,7.25235,0.58151,2.28502,2.09879,0.02151,0.57064,0.02798,0.00596,1e-05,0.00314,0,0,2.50415,8.84917,0.17653,41.5914,4.12933,0.00132634,0.00132634,0.0349446
3,2249.91,1.72367,6.72315,0.52169,2.19481,2.01651,0.00107,0.05671,0.00033,3e-05,0,0,0,0,3.99799,10.3074,0.16258,6.34958,9.78426,0.00198652,0.00198652,0.00227142
4,2877.64,1.65137,6.63429,0.49348,2.0977,1.96874,0.1471,0.58546,0.23863,0.07194,0.008,0.04653,0.00328,0.00034,2.24358,7.7019,0.08263,3.39594,3.05808,0.00198246,0.00198246,0.00198246
5,3167.66,1.63605,6.58518,0.48541,1.94988,1.94374,0.49243,0.68086,0.44349,0.17984,5e-05,0.02166,1e-05,0,1.87678,7.88097,0.10429,2.31496,2.62659,0.0019689,0.0019689,0.0019689
6,3571.5,1.5723,6.31096,0.4604,1.86637,1.87213,0.33973,0.6766,0.43059,0.20941,0.00469,0.00921,0.00042,8e-05,1.57071,7.82652,0.0882,2.03461,2.28899,0.00195155,0.00195155,0.00195155
7,3844.44,1.51755,6.27124,0.46762,1.80609,1.82982,0.35189,0.85524,0.5123,0.23168,0.21816,0.04348,0.01247,0.00239,1.91514,7.51762,0.19969,1.69405,2.50999,0.00193048,0.00193048,0.00193048
8,4260.8,1.50469,6.10351,0.44876,1.79968,1.82939,0.42918,0.81402,0.57448,0.29534,0.22552,0.11857,0.03796,0.0046,1.65599,6.10859,0.06375,1.45982,2.21435,0.00190578,0.00190578,0.00190578
9,4883.75,1.46659,5.89911,0.42432,1.76307,1.78491,0.38805,0.77014,0.52832,0.28435,0.06836,0.09739,0.01666,0.0022,1.40477,6.27467,0.08022,1.6369,2.01412,0.00187754,0.00187754,0.00187754
10,5396.74,1.46978,5.70331,0.43162,1.70132,1.77763,0.40578,0.83047,0.61553,0.33255,0.12189,0.29428,0.11004,0.01977,1.48552,5.40917,0.0862,1.691,2.05748,0.00184588,0.00184588,0.00184588
11,5836.1,1.42036,5.67051,0.42837,1.68826,1.75083,0.38351,0.79357,0.50863,0.29444,0.05631,0.10061,0.01994,0.00315,1.42293,5.93966,0.11086,1.74345,1.97178,0.00181093,0.00181093,0.00181093
12,6179.84,1.38481,5.48596,0.42221,1.64761,1.71876,0.51499,0.86059,0.63988,0.35729,0.22018,0.37187,0.16699,0.03536,1.55498,5.09905,0.10796,1.27154,2.10759,0.00177281,0.00177281,0.00177281
13,6533.1,1.4156,5.23734,0.41306,1.62757,1.76098,0.44428,0.84862,0.60545,0.3481,0.20825,0.37257,0.1601,0.0288,1.43283,5.34376,0.0986,1.38102,1.95572,0.00173168,0.00173168,0.00173168
14,6929.17,1.39856,5.21338,0.40678,1.62206,1.73431,0.46358,0.83181,0.65278,0.3879,0.21684,0.41428,0.22245,0.06244,1.42894,5.00711,0.09427,1.34783,1.98477,0.0016877,0.0016877,0.0016877
15,7343.16,1.36024,5.11985,0.4118,1.56676,1.69164,0.47869,0.82307,0.66231,0.38573,0.15642,0.28764,0.08869,0.02237,1.42022,5.36947,0.16377,1.34032,1.96274,0.00164105,0.00164105,0.00164105
16,7708.41,1.31769,5.0363,0.4,1.54,1.66861,0.43259,0.94604,0.67834,0.40612,0.20474,0.44791,0.23446,0.0574,1.49472,4.79214,0.09623,1.28505,1.99689,0.00159191,0.00159191,0.00159191
17,8269.24,1.32547,4.90617,0.40142,1.54204,1.6779,0.56511,0.88715,0.76668,0.48258,0.33582,0.53682,0.31659,0.08886,1.29426,4.01166,0.07166,1.17888,1.8362,0.00154047,0.00154047,0.00154047
18,8658.04,1.3066,4.81943,0.38884,1.50037,1.65754,0.51868,0.92419,0.73591,0.40886,0.36283,0.62182,0.41746,0.11693,1.53399,4.21285,0.15146,1.17722,2.02001,0.00148694,0.00148694,0.00148694
19,9314.93,1.33747,4.65554,0.37134,1.48153,1.68666,0.54214,0.88099,0.70162,0.37198,0.36499,0.58819,0.34687,0.08392,1.70511,4.21596,0.10933,1.15859,2.28216,0.00143152,0.00143152,0.00143152
20,9824.92,1.2923,4.56937,0.37846,1.47555,1.64153,0.54132,0.89662,0.73216,0.48016,0.38688,0.54388,0.36301,0.10447,1.29171,4.03226,0.08632,1.15156,1.81421,0.00137444,0.00137444,0.00137444
21,10158.8,1.26017,4.49952,0.37386,1.42788,1.62581,0.56256,0.85283,0.70851,0.44021,0.42104,0.61907,0.41888,0.10684,1.36413,3.90134,0.05847,1.20045,1.90657,0.00131593,0.00131593,0.00131593
22,10572.7,1.27002,4.41032,0.36929,1.4297,1.64528,0.53115,0.88864,0.72798,0.46075,0.40563,0.58004,0.42324,0.12606,1.30384,3.68032,0.07145,1.12372,1.80701,0.0012562,0.0012562,0.0012562
23,10934.1,1.249,4.36175,0.37225,1.41197,1.63469,0.58936,0.8803,0.74354,0.48488,0.47292,0.72545,0.54511,0.15117,1.28621,3.352,0.06362,1.151,1.81956,0.00119551,0.00119551,0.00119551
24,11312.3,1.23635,4.20524,0.3619,1.37849,1.61515,0.63123,0.85054,0.74742,0.45832,0.52764,0.71402,0.54578,0.18441,1.36602,3.16932,0.13062,1.10713,1.86927,0.00113408,0.00113408,0.00113408
25,11850.5,1.20831,4.1678,0.36347,1.37017,1.59663,0.59138,0.87123,0.74469,0.47428,0.53475,0.77377,0.61152,0.2115,1.36206,3.07947,0.08998,1.15635,1.85817,0.00107216,0.00107216,0.00107216
26,12460.8,1.20963,3.98047,0.34974,1.34574,1.58618,0.632,0.94214,0.79612,0.52335,0.56581,0.77065,0.64583,0.21064,1.22193,3.07861,0.07556,1.06268,1.73104,0.00101,0.00101,0.00101
27,13045.6,1.21424,3.94033,0.34989,1.341,1.59021,0.54535,0.97774,0.77503,0.49749,0.49074,0.8632,0.68285,0.25923,1.3042,2.74001,0.09126,1.0421,1.80241,0.000947837,0.000947837,0.000947837
28,13750.1,1.20888,3.97954,0.3497,1.29715,1.56986,0.74581,0.79008,0.84007,0.53901,0.68394,0.72593,0.73213,0.28239,1.28164,2.7653,0.07356,0.9488,1.77199,0.00088592,0.00088592,0.00088592
29,14077.5,1.17004,3.8317,0.3465,1.28096,1.55687,0.6289,0.90208,0.80653,0.55049,0.59071,0.8389,0.72593,0.28373,1.16693,2.69821,0.09267,1.08361,1.69314,0.000824492,0.000824492,0.000824492
30,14730.4,1.16671,3.69436,0.3484,1.27105,1.54852,0.61687,0.83321,0.82831,0.55203,0.67903,0.71466,0.75429,0.30607,1.23484,2.6851,0.11716,0.95621,1.74618,0.000763797,0.000763797,0.000763797
