epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,14466.8,1.02726,3.29561,0.1385,0.98094,1.69268,0.67914,0.83879,0.76102,0.48455,0.58051,0.74563,0.63596,0.17549,1.24316,3.24333,0.04328,1.05681,1.83406,0.000492726,0.000492726,0.000492726
29,14867.3,1.01237,3.12732,0.135,0.95764,1.6811,0.66135,0.87305,0.79566,0.55555,0.63406,0.82107,0.72135,0.25592,1.11005,2.875,0.04644,1.0415,1.66104,0.000428093,0.000428093,0.000428093
30,15380.3,0.99249,2.90071,0.13514,0.88881,1.662,0.65205,0.87021,0.81508,0.54763,0.61908,0.81611,0.74831,0.29331,1.18345,2.72499,0.06277,0.95576,1.75255,0.000367046,0.000367046,0.000367046
31,15837.9,0.95831,2.70679,0.12832,0.84393,1.63401,0.65319,0.8756,0.8083,0.56025,0.64559,0.83234,0.74803,0.31471,1.10841,2.5299,0.0442,1.00183,1.67032,0.000309964,0.000309964,0.000309964
32,16287.5,0.91825,2.48937,0.11475,0.8276,1.58825,0.7619,0.86724,0.86915,0.61812,0.73397,0.8333,0.82208,0.36194,1.06909,2.30676,0.04512,0.8363,1.62423,0.000257198,0.000257198,0.000257198
33,16705,0.91158,2.42468,0.12866,0.78979,1.59016,0.73811,0.91341,0.88636,0.63171,0.7127,0.88321,0.84543,0.38368,1.05069,2.20702,0.05361,0.8283,1.59777,0.000209073,0.000209073,0.000209073
34,17189,0.87139,2.25289,0.12325,0.74355,1.56252,0.85003,0.87771,0.92813,0.65385,0.84363,0.87318,0.91229,0.43041,1.07973,2.12857,0.04421,0.77948,1.64821,0.000165886,0.000165886,0.000165886
35,17642.9,0.89657,2.25896,0.12712,0.70869,1.57079,0.81272,0.84532,0.91582,0.65089,0.80895,0.82317,0.88812,0.4325,1.05707,2.09336,0.04976,0.78491,1.61183,0.000127904,0.000127904,0.000127904
36,18089.4,0.86691,2.14379,0.11382,0.67657,1.53118,0.81803,0.92836,0.93475,0.68619,0.80695,0.91679,0.91779,0.43792,0.99942,2.02288,0.0356,0.76955,1.53669,9.53593e-05,9.53593e-05,9.53593e-05
37,18490.8,0.87757,2.09883,0.12633,0.66025,1.57911,0.83472,0.95727,0.94471,0.69246,0.83522,0.93642,0.92921,0.46371,0.99169,1.95846,0.04172,0.71345,1.55423,6.8454e-05,6.8454e-05,6.8454e-05
38,18962.7,0.8524,2.04551,0.11361,0.64047,1.53011,0.81988,0.9624,0.94546,0.70284,0.80815,0.95083,0.93032,0.46687,0.97011,1.91584,0.04499,0.74201,1.52165,4.73538e-05,4.73538e-05,4.73538e-05
39,19446.4,0.84463,2.0178,0.11397,0.6519,1.52049,0.84695,0.95484,0.95375,0.70217,0.83165,0.94031,0.93447,0.46909,0.97228,1.92075,0.04521,0.69707,1.51303,3.21885e-05,3.21885e-05,3.21885e-05
40,19881.2,0.82634,2.08327,0.10042,0.63586,1.50248,0.82539,0.96175,0.94913,0.69001,0.81428,0.95047,0.93446,0.47404,0.9918,1.89999,0.04086,0.72078,1.54568,2.30518e-05,2.30518e-05,2.30518e-05
