epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6722,1.81191,4.86414,0.62994,2.82856,2.26662,0.18511,0.22823,0.08624,0.02462,0,0,0,0,2.32661,6.04611,0.42594,3.72574,3.35348,0.000495726,0.000495726,0.0674473
2,192.847,1.75924,4.4443,0.53463,2.47301,2.14349,0.06801,0.38472,0.09895,0.02977,0.00038,0.00629,5e-05,1e-05,2.61749,5.93802,0.15086,4.84527,4.09144,0.000995666,0.000995666,0.0346139
3,297.865,1.67908,4.30079,0.49344,2.49732,2.07678,0.34404,0.11984,0.01191,0.00279,5e-05,0.00314,0,0,2.48266,5.53846,0.10469,30.2027,3.28839,0.00149536,0.00149536,0.00178026
4,395.04,1.65784,4.26309,0.47089,2.42021,2.05849,0.13372,0.45409,0.1801,0.06898,0.00073,0.00314,2e-05,0,2.18201,5.48541,0.12685,4.72645,2.96857,0.00149918,0.00149918,0.00149918
5,503.063,1.62966,4.10839,0.45537,2.32408,2.0283,0.4417,0.66012,0.42608,0.16869,0,0,0,0,1.99056,5.29592,0.04151,2.32649,2.83713,0.00149853,0.00149853,0.00149853
6,613.001,1.58573,4.01332,0.44441,2.24154,1.99763,0.40334,0.74116,0.50687,0.21078,0.0002,0.01715,2e-05,0,1.89342,5.11992,0.10959,1.86424,2.56482,0.00149771,0.00149771,0.00149771
7,712.801,1.57354,4.13278,0.44592,2.16439,1.97683,0.51255,0.72572,0.46917,0.18814,0.1717,0.01549,0.00089,0.0001,1.86515,4.73922,0.06559,1.954,2.47366,0.0014967,0.0014967,0.0014967
8,787.77,1.53058,4.01932,0.42359,2.13615,1.93647,0.37142,0.64549,0.45545,0.21958,0.51284,0.01852,0.00222,0.00023,1.71173,4.90687,0.10755,1.7204,2.24644,0.00149552,0.00149552,0.00149552
9,878.531,1.52523,3.88394,0.41858,2.09572,1.92529,0.22944,0.46954,0.23439,0.06506,0.3355,0.00314,5e-05,1e-05,2.76942,4.82046,0.13606,2.3342,3.49658,0.00149415,0.00149415,0.00149415
10,975.017,1.50837,3.81555,0.39751,2.08424,1.91033,0.53665,0.77134,0.66862,0.26322,0.18092,0.03098,0.00207,0.0003,2.0226,4.73555,0.07684,1.87883,2.51563,0.00149259,0.00149259,0.00149259
