epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1697,1.91502,8.62403,0.66889,2.97124,2.17975,0,0,0,0,0,0,0,0,3.54096,11.7839,1.91145,137467,128.979,0.00327684,0.00327684,0.0705085
2,57.0989,1.8153,8.05233,0.62712,2.3262,2.044,0.0035,0.25612,0.00168,0.00027,0,0,0,0,3.32171,9.93661,0.17024,260.172,5.62479,0.00628297,0.00628297,0.0401813
3,84.0426,1.79865,7.73536,0.58247,2.23962,2.02148,0.04647,0.14681,0.04719,0.01089,0,0,0,0,2.35093,9.59811,0.04771,73.3702,4.21375,0.0089591,0.0089591,0.00952407
4,111.319,1.6832,7.43887,0.54013,2.13934,1.94406,0.66961,0.16667,0.06219,0.01106,0,0,0,0,2.40719,10.2506,0.02358,48.122,4.72806,0.008515,0.008515,0.008515
5,136.789,1.67312,7.40818,0.51609,2.03946,1.91562,0.52208,0.14444,0.03171,0.01084,0,0,0,0,2.74716,10.8366,0.05543,45.8918,4.45336,0.00802,0.00802,0.00802
6,162.27,1.59013,6.91904,0.49459,1.93247,1.84521,0.29279,0.75676,0.38907,0.1263,0.00553,0.01092,0.00039,4e-05,2.06661,7.35675,0.15693,2.10886,3.02238,0.007525,0.007525,0.007525
7,187.545,1.53677,7.08016,0.49957,1.81233,1.78859,0.49649,0.32507,0.32015,0.13844,0,0,0,0,1.89099,8.24149,0.21628,2.73915,2.78826,0.00703,0.00703,0.00703
8,212.143,1.48607,6.8853,0.48871,1.74728,1.76497,0.52614,0.6227,0.45428,0.23265,0.19512,0.06552,0.00789,0.00086,1.58507,6.84643,0.11774,1.6434,2.32776,0.006535,0.006535,0.006535
9,236.493,1.45976,6.85134,0.48513,1.68469,1.71969,0.32728,0.68294,0.38877,0.18035,0.00563,0.01252,0.00043,4e-05,1.61122,7.61497,0.0921,1.71484,2.321,0.00604,0.00604,0.00604
10,260.87,1.47468,6.59486,0.46311,1.66768,1.71456,0.43444,0.73544,0.60185,0.31019,0.19156,0.05917,0.00796,0.00096,1.50534,6.79718,0.10522,1.62925,2.20353,0.005545,0.005545,0.005545
11,283.444,1.37364,6.67878,0.21536,1.47403,1.97711,0.26388,0.6931,0.38493,0.17127,0.04014,0.0343,0.00952,0.00135,1.84146,7.94454,0.02345,2.27114,2.51665,0.00505,0.00505,0.00505
12,305.633,1.35615,6.50505,0.15379,1.34591,1.95945,0.3737,0.82139,0.53808,0.31132,0.20076,0.08986,0.01447,0.00159,1.23964,6.78108,0.03208,1.40988,1.91943,0.004555,0.004555,0.004555
13,327.845,1.25965,6.3591,0.14965,1.24201,1.8785,0.43737,0.90774,0.6034,0.31415,0.02845,0.06391,0.01734,0.00195,1.47483,6.6586,0.05339,1.41978,2.12302,0.00406,0.00406,0.00406
14,350.056,1.22549,6.1646,0.14119,1.18015,1.82781,0.56386,0.93864,0.7329,0.48959,0.13817,0.2508,0.08195,0.0103,1.19943,5.96595,0.05092,1.12182,1.83602,0.003565,0.003565,0.003565
15,372.289,1.15095,5.94607,0.12075,1.12414,1.76979,0.52655,0.94598,0.69823,0.45399,0.14289,0.25154,0.08402,0.01041,1.19604,6.02973,0.05357,1.1071,1.8498,0.00307,0.00307,0.00307
16,394.613,1.12012,5.8113,0.12885,1.05175,1.71439,0.56849,0.8232,0.72521,0.4703,0.07974,0.13437,0.03623,0.005,1.24418,6.28117,0.05276,1.10946,1.85381,0.002575,0.002575,0.002575
17,416.781,1.11018,5.67111,0.11334,1.04013,1.7001,0.55337,0.85351,0.74359,0.49898,0.12742,0.19238,0.0766,0.00996,1.15646,5.86065,0.04946,1.15452,1.77089,0.00208,0.00208,0.00208
18,442.563,1.06403,5.60491,0.13679,1.01834,1.69853,0.63049,0.89827,0.80417,0.57402,0.20876,0.33961,0.14731,0.02456,1.06095,5.52062,0.03449,0.993,1.66982,0.001585,0.001585,0.001585
19,465.483,1.01218,5.43144,0.14252,0.98048,1.62504,0.61687,0.94491,0.82226,0.57681,0.23052,0.3313,0.16293,0.02153,1.11679,5.56475,0.05036,0.95451,1.69844,0.00109,0.00109,0.00109
20,487.829,0.98363,5.40405,0.12278,0.92479,1.61274,0.68713,0.90901,0.84803,0.61274,0.29674,0.3317,0.19486,0.03128,1.06292,5.49876,0.04562,0.91438,1.6644,0.000595,0.000595,0.000595
