epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3865.12,1.28541,3.21476,0.35444,1.6424,1.74541,0.58891,0.93713,0.81551,0.48362,0.53308,0.83772,0.69981,0.22028,1.49384,2.46206,0.09848,0.99998,2.00667,0.000959289,0.000959289,0.000959289
28,4048.12,1.3336,3.16293,0.3468,1.66959,1.75833,0.53112,0.95112,0.71751,0.44494,0.48792,0.86242,0.62292,0.21216,1.36084,2.32453,0.09246,1.13353,1.89354,0.000956145,0.000956145,0.000956145
29,4171.63,1.31622,2.99822,0.33084,1.59482,1.73692,0.58134,0.8205,0.74638,0.45645,0.53771,0.77113,0.66943,0.20749,1.35361,2.32257,0.15175,1.17394,1.91797,0.000952889,0.000952889,0.000952889
30,4331.13,1.28232,3.17126,0.34153,1.58451,1.72302,0.63548,0.91568,0.83978,0.46508,0.58484,0.85016,0.76009,0.26169,1.61378,2.23729,0.09397,1.03307,2.16334,0.000949524,0.000949524,0.000949524
31,4510.85,1.27911,2.95023,0.33231,1.54477,1.6969,0.56398,0.90283,0.75546,0.46813,0.50279,0.83212,0.65057,0.24591,1.37079,2.17616,0.125,0.96523,1.86895,0.000946048,0.000946048,0.000946048
32,4698.8,1.28091,2.97948,0.32857,1.55069,1.70601,0.67824,0.93499,0.88721,0.53933,0.63999,0.84085,0.7579,0.25617,1.40248,2.2617,0.15047,0.95624,1.94169,0.000942464,0.000942464,0.000942464
33,4920.18,1.27678,2.98745,0.33187,1.48711,1.69538,0.60424,0.97151,0.89606,0.59658,0.54017,0.84898,0.77291,0.29732,1.23548,2.09741,0.10664,0.91169,1.75873,0.000938772,0.000938772,0.000938772
34,5113.22,1.28507,2.92054,0.3284,1.51829,1.71865,0.74172,0.90792,0.91461,0.57291,0.72767,0.88547,0.88285,0.36198,1.40522,1.89736,0.08929,0.91994,1.91636,0.000934973,0.000934973,0.000934973
35,5226.22,1.27139,2.87333,0.33381,1.52906,1.70374,0.59936,0.93942,0.8545,0.56921,0.56096,0.87857,0.76975,0.30584,1.30835,2.01961,0.07255,0.94793,1.80968,0.000931067,0.000931067,0.000931067
36,5462.16,1.28134,2.89994,0.32821,1.52115,1.71681,0.76352,0.81476,0.89169,0.54679,0.72241,0.76594,0.80806,0.3119,1.40724,2.08648,0.14546,0.99289,1.89439,0.000927057,0.000927057,0.000927057
37,5623.56,1.27152,2.80161,0.32661,1.46127,1.69919,0.67849,0.90229,0.85419,0.57769,0.65037,0.86872,0.80084,0.35397,1.20019,1.94523,0.06188,0.91307,1.7082,0.000922942,0.000922942,0.000922942
38,5767.73,1.27012,2.8077,0.324,1.49126,1.70143,0.74047,0.8066,0.88144,0.53839,0.74622,0.74036,0.83729,0.35552,1.35135,1.83039,0.14569,0.91887,1.8351,0.000918725,0.000918725,0.000918725
39,5880.02,1.24029,2.7067,0.30637,1.46937,1.68275,0.69248,0.83783,0.84213,0.5652,0.64956,0.78951,0.77013,0.32025,1.24674,1.93407,0.10495,0.89146,1.77805,0.000914405,0.000914405,0.000914405
40,6067.07,1.24492,2.78485,0.31696,1.45905,1.68588,0.69053,0.87907,0.88665,0.56987,0.67436,0.85414,0.83408,0.35013,1.27747,1.84779,0.16954,0.90695,1.79766,0.000909984,0.000909984,0.000909984
41,6236.24,1.2113,2.64612,0.31131,1.44362,1.67219,0.71087,0.8737,0.88591,0.57293,0.69573,0.85458,0.85477,0.38428,1.2492,1.795,0.08314,0.95534,1.77409,0.000905463,0.000905463,0.000905463
42,6387.41,1.2243,2.68179,0.31111,1.44109,1.66849,0.72101,0.91973,0.89764,0.58065,0.71687,0.91279,0.89105,0.36091,1.28624,1.76088,0.07764,0.91475,1.80129,0.000900844,0.000900844,0.000900844
43,6493.36,1.20274,2.5433,0.3064,1.41961,1.65298,0.76631,0.93849,0.94386,0.64147,0.74929,0.92019,0.91482,0.41809,1.15785,1.72763,0.11527,0.84221,1.67087,0.000896127,0.000896127,0.000896127
44,6636.06,1.22981,2.62431,0.30906,1.42693,1.6603,0.77778,0.86778,0.91914,0.64686,0.74722,0.83334,0.87412,0.39501,1.05906,1.82728,0.07279,0.76225,1.59534,0.000891313,0.000891313,0.000891313
45,6880.47,1.17357,2.59596,0.3125,1.35285,1.63533,0.86409,0.87638,0.95075,0.68146,0.85779,0.86872,0.93967,0.45646,1.09756,1.62296,0.09301,0.77198,1.61171,0.000886404,0.000886404,0.000886404
46,7032.83,1.2066,2.56775,0.30576,1.37774,1.65435,0.88377,0.95279,0.96654,0.64412,0.87901,0.94282,0.95344,0.4758,1.29544,1.65295,0.08861,0.71047,1.81451,0.000881401,0.000881401,0.000881401
47,7184.67,1.18989,2.47621,0.30345,1.32985,1.6364,0.84589,0.87434,0.94078,0.64753,0.80923,0.85034,0.88351,0.38228,1.13237,1.81956,0.13436,0.74498,1.67187,0.000876305,0.000876305,0.000876305
48,7365.02,1.18383,2.62906,0.30717,1.35739,1.62997,0.86938,0.91617,0.95006,0.67683,0.84673,0.89181,0.91865,0.43635,1.02968,1.65155,0.10523,0.68088,1.57256,0.000871117,0.000871117,0.000871117
49,7589.42,1.17559,2.44678,0.29603,1.30837,1.62985,0.78868,0.90024,0.92136,0.63047,0.77913,0.89104,0.90511,0.41612,1.16449,1.70014,0.0916,0.78315,1.67965,0.000865839,0.000865839,0.000865839
50,7811.63,1.18468,2.41799,0.29666,1.38382,1.6366,0.86594,0.85772,0.91747,0.63175,0.83912,0.83836,0.88147,0.41845,1.15233,1.67728,0.0918,0.71247,1.68187,0.000860473,0.000860473,0.000860473
51,7971.45,1.17697,2.46263,0.30631,1.33342,1.62735,0.80486,0.87978,0.94461,0.62437,0.79758,0.86083,0.91807,0.40913,1.2289,1.70653,0.06078,0.74418,1.70363,0.000855018,0.000855018,0.000855018
52,8150.15,1.15053,2.40987,0.29793,1.3189,1.60082,0.88854,0.93743,0.96608,0.67497,0.88267,0.93137,0.95741,0.51219,1.07957,1.5083,0.11727,0.6545,1.63695,0.000849477,0.000849477,0.000849477
53,8312.34,1.15396,2.41558,0.2857,1.32145,1.60947,0.85358,0.84288,0.94074,0.64341,0.84199,0.8337,0.91861,0.47767,1.13236,1.55694,0.08723,0.72781,1.693,0.000843851,0.000843851,0.000843851
54,8481.67,1.18969,2.41175,0.29629,1.3154,1.63612,0.85709,0.88487,0.94651,0.6804,0.84545,0.87568,0.93354,0.44365,1.0752,1.59233,0.09658,0.64378,1.62586,0.000838141,0.000838141,0.000838141
55,8647.91,1.16606,2.45923,0.28852,1.27631,1.61551,0.95519,0.97266,0.98382,0.65761,0.95187,0.96919,0.97747,0.51912,1.13786,1.48531,0.05859,0.58943,1.67117,0.000832349,0.000832349,0.000832349
56,8810.36,1.17872,2.43538,0.29326,1.27759,1.64487,0.95001,0.95975,0.98319,0.68469,0.95001,0.95975,0.98319,0.5191,1.11915,1.51524,0.07223,0.58094,1.64518,0.000826477,0.000826477,0.000826477
57,8963.38,1.18393,2.43186,0.29672,1.31555,1.63613,0.9553,0.92258,0.97893,0.70807,0.95213,0.91955,0.97498,0.50225,1.04592,1.45471,0.05582,0.56384,1.5821,0.000820525,0.000820525,0.000820525
58,9171.29,1.15189,2.29501,0.28364,1.24582,1.61381,0.82513,0.87258,0.93708,0.66059,0.81531,0.86023,0.91357,0.4857,1.10171,1.54333,0.04886,0.74742,1.66869,0.000814495,0.000814495,0.000814495
59,9337.29,1.13151,2.38357,0.29159,1.24888,1.60366,0.93304,0.97879,0.98906,0.7091,0.93304,0.97879,0.98906,0.53893,1.03686,1.45801,0.07983,0.54834,1.58831,0.000808389,0.000808389,0.000808389
60,9558.46,1.12651,2.3101,0.295,1.20929,1.58938,0.96084,0.90131,0.9776,0.68701,0.9573,0.89833,0.97538,0.47738,1.11479,1.6387,0.06466,0.54573,1.60207,0.000802208,0.000802208,0.000802208
61,9768.43,1.13687,2.18208,0.2827,1.23062,1.59577,0.89668,0.89308,0.95592,0.65209,0.89337,0.89015,0.95188,0.50296,1.16422,1.46091,0.07052,0.5953,1.68194,0.000795954,0.000795954,0.000795954
62,9959.36,1.14247,2.23913,0.28534,1.2182,1.59916,0.94478,0.8988,0.97564,0.71063,0.94177,0.89577,0.97024,0.53565,1.04947,1.45095,0.08618,0.55926,1.5634,0.000789628,0.000789628,0.000789628
63,10182.7,1.14947,2.26869,0.28069,1.23343,1.60654,0.89987,0.90392,0.95633,0.69412,0.8969,0.90089,0.95287,0.46485,1.02907,1.56476,0.06686,0.56939,1.5507,0.000783231,0.000783231,0.000783231
64,10407.4,1.10897,2.18078,0.28495,1.16144,1.5849,0.97036,0.92631,0.98435,0.72422,0.96688,0.92317,0.97889,0.50673,0.96697,1.449,0.07556,0.54693,1.50878,0.000776766,0.000776766,0.000776766
65,10596.6,1.14914,2.24851,0.28701,1.19254,1.59986,0.96331,0.96456,0.98717,0.7179,0.95744,0.9585,0.98007,0.51538,1.02137,1.46308,0.06802,0.56053,1.55537,0.000770234,0.000770234,0.000770234
66,10800.5,1.10822,2.10749,0.27724,1.14645,1.56102,0.95834,0.97681,0.98793,0.65137,0.95834,0.97681,0.98793,0.56346,1.24903,1.3627,0.06226,0.57125,1.71837,0.000763637,0.000763637,0.000763637
67,10930.7,1.0794,2.10042,0.27542,1.11923,1.56084,0.94555,0.9849,0.98392,0.71934,0.94555,0.9849,0.98392,0.53409,1.02641,1.41385,0.0539,0.50287,1.55036,0.000756976,0.000756976,0.000756976
68,11064.3,1.1375,2.20473,0.27944,1.18685,1.61314,0.93021,0.97424,0.98739,0.73239,0.93021,0.97424,0.98739,0.54131,0.96669,1.39407,0.06856,0.52712,1.52472,0.000750252,0.000750252,0.000750252
69,11191.3,1.10601,2.11797,0.27807,1.14723,1.5587,0.94402,0.96371,0.98578,0.71451,0.93206,0.95159,0.96127,0.50676,1.01767,1.41605,0.05649,0.52342,1.57417,0.000743468,0.000743468,0.000743468
70,11295,1.10122,2.04632,0.27971,1.15235,1.5716,0.94591,0.91342,0.97767,0.68646,0.94591,0.91342,0.97767,0.57327,1.11088,1.30267,0.05343,0.53686,1.60638,0.000736625,0.000736625,0.000736625
71,11434.5,1.08187,2.08328,0.27748,1.08827,1.54998,0.94525,0.94669,0.98562,0.70958,0.93637,0.9376,0.96727,0.50165,1.04204,1.50077,0.07295,0.52854,1.63996,0.000729725,0.000729725,0.000729725
72,11600.1,1.09012,2.08144,0.27775,1.12766,1.55625,0.94321,0.97886,0.98789,0.70755,0.92706,0.96706,0.96501,0.56333,1.01182,1.32998,0.06062,0.52449,1.58657,0.00072277,0.00072277,0.00072277
73,11733.7,1.07421,2.11059,0.27707,1.11314,1.55642,0.97356,0.97843,0.98915,0.73857,0.96433,0.96934,0.97571,0.5885,0.96856,1.26493,0.06156,0.4919,1.50769,0.000715761,0.000715761,0.000715761
