epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,9101.92,1.32443,5.26093,0.40385,1.46707,1.63581,0.51972,0.88867,0.71633,0.43506,0.33292,0.55704,0.37649,0.1039,1.35863,4.10573,0.14828,1.18515,2.01916,0.004654,0.004654,0.004654
29,9384.53,1.32119,5.12018,0.37776,1.45869,1.63083,0.61799,0.8582,0.76174,0.44081,0.47116,0.65408,0.47744,0.1403,1.47304,3.85777,0.14352,1.14057,2.13092,0.004456,0.004456,0.004456
30,9680.37,1.33541,5.10033,0.37864,1.43599,1.63456,0.63878,0.89188,0.77687,0.46412,0.48563,0.67142,0.48165,0.15018,1.43261,3.75207,0.16197,1.10789,2.113,0.004258,0.004258,0.004258
31,10011.7,1.29323,4.86108,0.37208,1.38607,1.60663,0.65915,0.83966,0.80375,0.48081,0.47703,0.63692,0.52565,0.16698,1.39468,3.6446,0.1474,1.05376,2.05614,0.00406,0.00406,0.00406
32,10322.7,1.27505,4.78212,0.36772,1.35795,1.59157,0.6399,0.81674,0.77937,0.47584,0.49606,0.60886,0.49853,0.14148,1.38129,3.88489,0.18237,1.14478,2.03365,0.003862,0.003862,0.003862
33,10666.4,1.29567,5.0154,0.37737,1.4034,1.62074,0.63004,0.89555,0.78447,0.4756,0.48138,0.69306,0.48657,0.16326,1.37893,3.49958,0.09795,1.14784,2.03941,0.003664,0.003664,0.003664
34,10977.4,1.31975,4.68909,0.37147,1.40246,1.62492,0.60615,0.86258,0.78912,0.49483,0.51736,0.62154,0.51003,0.14619,1.30191,3.63356,0.13503,1.1079,1.94962,0.003466,0.003466,0.003466
35,11315.7,1.2915,4.65673,0.3568,1.36174,1.61412,0.70255,0.84975,0.82296,0.50404,0.56923,0.71971,0.57323,0.20712,1.35417,3.10573,0.11764,1.03489,1.98643,0.003268,0.003268,0.003268
36,11603.5,1.3015,4.59102,0.36721,1.38658,1.6283,0.42513,0.39931,0.33692,0.11394,0.3006,0.13687,0.10045,0.0254,2.56336,6.54153,0.18456,2.17899,3.95026,0.00307,0.00307,0.00307
37,11898.4,1.26362,4.52018,0.35742,1.33396,1.58537,0.60971,0.83239,0.78172,0.49799,0.51336,0.67548,0.59643,0.22947,1.29196,3.04427,0.08976,1.09453,1.95501,0.002872,0.002872,0.002872
38,12219,1.22136,4.53115,0.37054,1.29904,1.55192,0.42883,0.7199,0.56626,0.24541,0.28131,0.40043,0.30738,0.08906,2.04714,4.70313,0.19519,1.54179,2.88338,0.002674,0.002674,0.002674
39,12527.2,1.22634,4.38031,0.35215,1.26751,1.57488,0.65124,0.90095,0.83141,0.54867,0.53149,0.76705,0.62784,0.23555,1.22651,2.79399,0.16373,0.99074,1.86856,0.002476,0.002476,0.002476
40,12823.7,1.2519,4.33031,0.35954,1.26983,1.56866,0.79065,0.90351,0.91418,0.60779,0.72262,0.8382,0.7936,0.2916,1.21492,2.62405,0.10173,0.92595,1.86306,0.002278,0.002278,0.002278
41,13087.9,1.14824,3.06641,0.16203,0.99408,1.76297,0.65017,0.89007,0.83371,0.53766,0.58599,0.79961,0.68468,0.26273,1.21332,2.73475,0.05078,1.02845,1.87031,0.00208,0.00208,0.00208
42,13364.6,1.11621,2.82053,0.1381,0.89064,1.71812,0.80101,0.91811,0.91419,0.60811,0.76878,0.88209,0.84057,0.36311,1.19717,2.38468,0.04376,0.85971,1.83434,0.001882,0.001882,0.001882
43,13665.9,1.08045,2.63047,0.12972,0.84206,1.70579,0.85273,0.89107,0.93787,0.65013,0.83179,0.86978,0.89883,0.40777,1.08701,2.17326,0.05503,0.81112,1.72655,0.001684,0.001684,0.001684
44,13966.2,1.1369,2.60332,0.11983,0.85442,1.78112,0.86351,0.90005,0.9338,0.63041,0.84414,0.87983,0.89021,0.40848,1.17082,2.13868,0.04706,0.82284,1.80055,0.001486,0.001486,0.001486
45,14241.6,1.04351,2.39218,0.12256,0.81591,1.67761,0.89297,0.88413,0.94782,0.6882,0.88181,0.87339,0.92091,0.47891,1.04543,1.9473,0.05067,0.72221,1.68121,0.001288,0.001288,0.001288
46,14525.4,1.00368,2.24242,0.11785,0.74585,1.64067,0.8378,0.92772,0.96487,0.67877,0.83184,0.88996,0.92281,0.46814,1.07676,1.95829,0.04928,0.77388,1.713,0.00109,0.00109,0.00109
47,14821.2,0.94535,2.15872,0.1124,0.72335,1.59667,0.92971,0.8755,0.96129,0.66511,0.9227,0.86589,0.93534,0.48412,1.13785,1.8943,0.03509,0.7575,1.7501,0.000892,0.000892,0.000892
48,15104.8,0.96524,2.13586,0.11483,0.70995,1.5962,0.94351,0.93879,0.97767,0.71872,0.91451,0.91291,0.93603,0.4985,0.99846,1.83232,0.03862,0.70249,1.62533,0.000694,0.000694,0.000694
49,15372.6,0.92761,2.05831,0.10115,0.66855,1.57126,0.95909,0.91712,0.9833,0.73146,0.93824,0.89364,0.94678,0.51925,0.99859,1.78625,0.03784,0.65363,1.61361,0.000496,0.000496,0.000496
50,15653.8,0.92769,2.06935,0.10968,0.6591,1.58726,0.95014,0.94649,0.98591,0.73205,0.9317,0.92809,0.95464,0.52244,0.98343,1.77743,0.04289,0.63671,1.5934,0.000298,0.000298,0.000298
